,tokenID,name,image,animation_url,pot,pet,bark,leaves,fruit,numberOfFruit,groundCover,background
12,1213,Bonsai #1213,https://ipfs.io/ipfs/Qma2YkmPYYJVo7URuqxJRrxRUtopxYNa1EhSa7bh2kZSCg,https://ipfs.io/ipfs/QmadGXUjUmKHsytjU84S6P4yaNmLnQL7ENuW4sHei4PwCT,Green Plastic,Robin,Cedar,Red Maple,Lime,8,kerria,day
13,1214,Bonsai #1214,https://ipfs.io/ipfs/QmWKuDvQZ5wxUmhZVFZEtWELFGAAsrLNpA523T6SCMpUQB,https://ipfs.io/ipfs/QmP23abRkGoaE3mBCiBNTUCqAPtgWpU2h5rUKQ7GYkFEjw,Aged Terra Cotta,Magpie,Elder,Sakura,Ancient Apple,8,None,night
14,1215,Bonsai #1215,https://ipfs.io/ipfs/QmcdeHUiywjnGZg8igAYRTWg4JzGzGUqmjiyiNSB6pukWz,https://ipfs.io/ipfs/QmUacJkpbjc9oidtJFhqx1YocQw2kX9EmcHgS3grP8wXCZ,Aged Terra Cotta,Robin,Elm,Sakura,None,0,hydrangea,day
15,1216,Bonsai #1216,https://ipfs.io/ipfs/Qmeyj3mdmnmYUaApDCC4DoHBWjYnGeovT4hxWz1zDb5Vmu,https://ipfs.io/ipfs/QmUSvobhLgYfQyChekRCFBg76PoUuugSLCmDT1hKLjkFX1,Red Terra Cotta,None,Birch,Red Maple,None,0,kerria,day
16,1217,Bonsai #1217,https://ipfs.io/ipfs/QmPpX8KcvzaP9zaZ8P4YhmLXYrCM8yoiDao5gJcKKgxtBg,https://ipfs.io/ipfs/QmaT2z3HYAShEyeCX2M1KAW1Mwx9ub34doJUUG3cUX1Qec,Red Terra Cotta,Robin,Elm,Yakisugi Maple,Yakisugi Apple,10,kerria,day
17,1218,Bonsai #1218,https://ipfs.io/ipfs/QmSWzkPhXczxnEAadoMQq9X1krJXKcxqXtKJKvwki63pX6,https://ipfs.io/ipfs/QmSGkbDFQEmXbpur71fVhzEhGSyzWqLhJ6RyWy5HPUSAGx,Modern Ash,Mantis,Birch,Momo Maple,None,0,rock,night
18,1219,Bonsai #1219,https://ipfs.io/ipfs/QmSEbCBJo7mB6Nzr3jTK4eJBhNJKzU19rHjdroFN7uraeB,https://ipfs.io/ipfs/QmSKg2q6q7M38c38MZfnyE6BsGz9Fh1ys7rbRGP47xRx2m,Modern Ash,Mantis,Birch,Sakura,Lemon,12,hydrangea,night
19,1220,Bonsai #1220,https://ipfs.io/ipfs/QmbdhvG696aQSNrpw9oJHzyQ9uS5UyehjkAAzwB5L9w125,https://ipfs.io/ipfs/QmWs4XnBtG3bBXMDp1Gfyh1eHV3bp9cxkd643x7YHj93Y8,Red Terra Cotta,None,Wenge,Momo Maple,Ancient Apple,18,None,night
20,1221,Bonsai #1221,https://ipfs.io/ipfs/QmVsU2JM2CsMDv4rTun8n6Zr6QKBRXC7xVdKEkqRn75yfS,https://ipfs.io/ipfs/QmaK7AoER45qqRfN51bkMqjwNd3Jh1kE1VSnwzxy8XXKWR,Red Terra Cotta,ElderCrystal Mantis,Elm,Winter Elm,Cherry,8,kerria,day
21,1222,Bonsai #1222,https://ipfs.io/ipfs/QmdwV6SZhSkDfHmzLyRdB3TKzeY6cYCoDUos6urfS2dvVy,https://ipfs.io/ipfs/QmV6ENgeejTxFQ3wQMoEyN1j71rXnRdsjwc8qoZUQtpRfW,Red Terra Cotta,Bamboo,Cedar,Summer Simple,Lime,18,None,day
